ID,District,Sub-District,Village,School,Level,Latitude,Longitude
133,Mudug,Galkacyo,Docol,Docol Primary School,Primary,6.43556,47.48861
134,Mudug,Galkacyo,Galinsoor,Galinsoor Primary School,Primary,6.43111,46.71528
135,Mudug,Galkacyo,Bandiradley,Bandiradley Primary School,Primary,6.48194,46.95083
136,Mudug,Galkacyo,Sadeh-Higlo,Sadeh-Higlo Primary School,Primary,6.49528,47.10417
137,Mudug,Galkacyo,Dagaari,Dagaari Primary School,Primary,6.55861,47.28528
138,Mudug,Galkacyo,,Mahad-Alle Primary School,Primary,0,0
139,Mudug,Galkacyo,,Sheikh-Ali-Samatar Primary School,Primary,0,0
140,Mudug,Galkacyo,Wargalo,Wargalo Primary School,Primary,6.265886,47.520373
141,Mudug,Galkacyo,,Beder Primary School,Primary,0,0
142,Mudug,Galkacyo,,Al-Hikma Primary School,Primary,0,0
143,Mudug,Galkacyo,,Abdilahi-Iisse Primary School,Primary,0,0
144,Mudug,Galkacyo,,Al-Shaab Primary School,Primary,0,0
145,Mudug,Galkacyo,Qotahtole,Qotahtole Primary School,Primary,6.625833333,47.845
